tipo,NUM_TESIS,ID,AÑO,TABLAS,DIAGRAMAS,ANALITICAS,PAGS,NUM_TOT,NUM_GRAFICA,DISPERSION,BARRAS,MAPAS,CIRCULAR,SERIE_TIEMPO,HISTOGRAMA,CAJAB,OTRAS,3D,REJILLA,TRAMA,ETIQUETAS,FONDO_OBS,MARCO,OTRO,1VAR,2VAR,3+VAR,SI_EXPLIC,NO_EXPLIC,MULTI_NUM,PAG,OBSERVACIONES
1,5,IAC-2001-PUI,2001,19,0,0,86,57,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,57,
1,5,IAC-2001-PUI,2001,19,0,0,86,58,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,58,
1,5,IAC-2001-PUI,2001,19,0,0,86,59,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,59,
1,6,IAC-2007-GAZ,2007,19,6,7,64,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15,
1,6,IAC-2007-GAZ,2007,19,6,7,64,61,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33,
1,6,IAC-2007-GAZ,2007,19,6,7,64,62,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,44,
1,6,IAC-2007-GAZ,2007,19,6,7,64,63,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,47,
1,7,IAC-2000-SOR,2000,3,0,0,101,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,58,
1,7,IAC-2000-SOR,2000,3,0,0,101,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,59,
1,7,IAC-2000-SOR,2000,3,0,0,101,66,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78,
1,7,IAC-2000-SOR,2000,3,0,0,101,67,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,82,
1,7,IAC-2000-SOR,2000,3,0,0,101,68,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83,
1,7,IAC-2000-SOR,2000,3,0,0,101,69,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83,
1,7,IAC-2000-SOR,2000,3,0,0,101,70,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,85,
1,7,IAC-2000-SOR,2000,3,0,0,101,71,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86,
1,7,IAC-2000-SOR,2000,3,0,0,101,72,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,87,
1,7,IAC-2000-SOR,2000,3,0,0,101,73,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,88,
1,7,IAC-2000-SOR,2000,3,0,0,101,74,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,89,
1,8,IAC-2002-MVA,2002,0,1,0,92,75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,
1,8,IAC-2002-MVA,2002,0,1,0,92,76,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,
